,0
mtransferencias_recibidas_ratioavg6,92.94698994954427
cpagomiscuentas_ratioavg6,92.79465649922689
ctarjeta_visa_debitos_automaticos_lag1,92.33102677663167
ctarjeta_master_debitos_automaticos_ratioavg6,91.09722010294597
Visa_mfinanciacion_limite_lag1,90.9262102762858
rankn_Visa_mpagospesos,89.50792121887207
ctrx_quarter_normalizado_lag2,88.59305973052979
Visa_msaldototal_lag1,88.5248171488444
Visa_Fvencimiento_lag1,88.2649964014689
Master_mlimitecompra_lag2,87.19799677530925
Visa_msaldototal_lag2,87.01874968210856
cprestamos_personales_lag2,85.63759339650473
mrentabilidad_lag1,84.67461001078287
Visa_mlimitecompra,84.4127066930135
Master_mpagominimo_lag1,83.92280985514323
rankp_mtransferencias_emitidas,83.6518367767334
ctarjeta_debito_transacciones_ratioavg6,82.74260336558024
thomebanking,81.9935832341512
mcuenta_debitos_automaticos_delta2,81.96821333567301
ccheques_emitidos_tend6,81.82082691192628
mautoservicio_ratioavg6,81.3274964650472
ccajas_otras_ratioavg6,80.15578651428223
Master_mlimitecompra_lag1,78.67454007466634
tcuentas_min6,78.52072366078694
rankp_mrentabilidad_annual,78.32894687652588
ctarjeta_visa_transacciones_delta2,78.12963027954102
rankp_chomebanking_transacciones_1,77.92328656514486
chomebanking_transacciones_delta1,76.44197324117025
Master_Finiciomora_delta1,75.7208527247111
Visa_mlimitecompra_lag1,74.15749689737956
cprestamos_personales_max6,73.80763308207194
mtransferencias_emitidas,73.49682308832804
rankp_Master_mlimitecompra,73.335759862264
ccomisiones_mantenimiento,73.09808985392253
cprestamos_personales_min6,72.93071022033692
ctarjeta_debito,72.86865679423015
Visa_fechaalta_tend6,72.3629035949707
kmes,71.55019702911378
rankp_Master_mfinanciacion_limite_1,71.41365356445313
mactivos_margen_delta2,70.93615649541219
cplazo_fijo,70.15980370839436
Visa_msaldopesos_tend6,69.46942030588785
Master_Finiciomora_ratioavg6,64.60179328918457
mcaja_ahorro_dolares,64.45821056365966
rankn_thomebanking,64.08124319712321
Master_mpagominimo_delta1,63.193023173014325
Visa_mpagominimo_ratioavg6,62.767886606852215
ctarjeta_visa_lag2,62.604540506998696
Visa_Fvencimiento_lag2,62.469183667500815
mcomisiones_ratioavg6,62.38330993652344
rankp_Visa_cconsumos,61.11858666737874
rankp_Visa_mconsumosdolares,60.84002679189046
mcaja_ahorro_dolares_min6,59.75386320749919
ctarjeta_visa_debitos_automaticos_delta2,58.813833491007486
mplazo_fijo_dolares_delta2,58.296403376261395
Master_msaldopesos_lag2,57.822083218892416
mcuenta_corriente_delta1,57.33117020924886
mtarjeta_visa_consumo_delta2,56.93502686818441
Master_mpagospesos,56.79705607096354
cmobile_app_trx,56.41886679331461
ctarjeta_master_debitos_automaticos_tend6,54.4934933980306
internet_min6,54.453213183085126
rankp_mcaja_ahorro_dolares,54.43731377919515
mtarjeta_visa_descuentos,54.122453180948895
mcomisiones_max6,53.52803999582927
mcomisiones,53.378136825561526
mprestamos_prendarios_max6,53.03450667063395
rankp_Visa_Fvencimiento,52.54321657816569
rankp_mrentabilidad,52.52328637440999
ctarjeta_visa_transacciones_min6,52.38236344655355
ctransferencias_recibidas_lag2,51.96094989776611
Master_cconsumos_tend6,51.562533378601074
mtransferencias_emitidas_lag1,51.507826487223305
rankn_Visa_mlimitecompra,51.2468630472819
mtransferencias_recibidas_lag1,50.613373057047525
mcomisiones_otras_ratioavg6,49.89847660064697
rankp_Visa_mconsumospesos,49.52278652191162
mplazo_fijo_dolares_delta1,49.49719320933024
Visa_msaldototal_tend6,49.401509857177736
cproductos_min6,49.28581034342448
mcheques_emitidos_rechazados_tend6,47.30770346323649
ccheques_depositados_ratioavg6,46.50811010996501
rankn_mrentabilidad_annual,45.6812131245931
cprestamos_personales_delta1,45.576806640625
cprestamos_personales_lag1,45.28590990702311
Visa_msaldototal_delta1,45.015693283081056
Visa_fultimo_cierre_tend6,44.09623336791992
cdescubierto_preacordado_lag2,42.5436403910319
rankn_mplazo_fijo_dolares,42.18731606801351
rankp_tmobile_app,42.18705946604411
rankp_mcomisiones_otras,41.92728983561198
ctransferencias_emitidas,41.586500040690105
mpasivos_margen_lag2,41.30576368967692
Master_mfinanciacion_limite_tend6,40.860953140258786
Master_cconsumos_delta2,40.822686703999835
mcaja_ahorro_delta2,40.63571643829346
rankp_Visa_mpagado,39.21263319651286
Visa_mpagospesos_lag1,39.17916685740153
cmobile_app_trx_lag1,39.158896891276044
mcheques_depositados_ratioavg6,39.05601994196574
tmobile_app_delta1,39.01399669647217
cmobile_app_trx_tend6,38.71591644287109
rankn_cprestamos_personales,38.50609703063965
ccuenta_debitos_automaticos_delta1,38.442953236897786
Visa_mconsumospesos_tend6,38.10030349095663
mcomisiones_otras,38.04054349263509
rankn_mtransferencias_recibidas,38.022866535186765
Master_Fvencimiento_ratioavg6,37.99069309234619
rankp_Master_mlimitecompra_1,37.58315340677897
mcomisiones_tend6,37.53353989919027
Master_Fvencimiento_lag2,37.09546655019124
mtarjeta_visa_consumo_max6,36.53564993540446
mpasivos_margen_ratioavg6,36.18208001454671
mcuenta_debitos_automaticos_lag2,36.001777013142906
mcomisiones_otras_tend6,35.58122679392497
cextraccion_autoservicio_ratioavg6,35.50007667541504
Visa_msaldodolares,35.426883697509766
rankn_ctransferencias_emitidas,35.31893672943115
cmobile_app_trx_delta2,34.775680224100746
cpagomiscuentas,34.6903434753418
cmobile_app_trx_lag2,34.26338011423747
ctarjeta_debito_transacciones_lag2,34.07000001271566
Master_msaldototal_ratioavg6,33.99399032592773
ccomisiones_mantenimiento_lag1,33.87706667582194
Master_fechaalta_tend6,32.72628326416016
Master_mconsumospesos_tend6,32.69252999623617
rankn_mcomisiones_mantenimiento,32.64518661499024
Master_Fvencimiento_lag1,32.328836631774905
ctransferencias_recibidas,32.185276667277016
mttarjeta_master_debitos_automaticos_ratioavg6,31.868576685587566
rankn_chomebanking_transacciones,31.8382266998291
mprestamos_hipotecarios_lag1,31.532259941101074
chomebanking_transacciones_tend6,30.984323247273764
mprestamos_prendarios_lag1,30.716599973042808
mpagomiscuentas_ratioavg6,30.617476971944175
mrentabilidad_min6,30.221033350626627
ccomisiones_otras_lag2,29.857050132751464
mcheques_depositados_rechazados_ratioavg6,29.53084659576416
Visa_mfinanciacion_limite_tend6,29.07422669728597
mcomisiones_otras_lag1,28.873943328857422
Visa_mconsumospesos_delta2,28.202063242594402
Visa_Fvencimiento_tend6,28.014919916788738
mcheques_emitidos_lag2,27.9254399617513
tmobile_app,27.559829902648925
mtarjeta_master_consumo_tend6,27.21518357594808
ctarjeta_visa_delta1,27.118367004394532
ctransferencias_emitidas_delta1,26.897493171691895
ccajas_transacciones,26.806732749938966
mtarjeta_master_consumo_max6,26.32800661722819
rankn_mtransferencias_emitidas,26.109763209025065
ctarjeta_debito_transacciones,25.990500195821127
Visa_msaldototal_delta2,25.74818646113078
cproductos_lag1,25.675779724121092
mautoservicio_max6,25.516396522521973
rankn_Master_msaldototal,25.328369839986166
